Table 1. Weeds Controlled or Suppressed
Engenia® herbicide will control or suppress the following
weeds when used at rates described in Table 2. See addition-
al information about weeds which are known to be resistant to
dicamba at www.Resistance-Information.BASF.US.
Common Name | Scientific Name
Annuals | Annuals
Alkanet | Lithospermum arvense
Amaranth, Palmer | Amaranthus palmeri
Amaranth, Powell | Amaranthus powellii
Amaranth, spiny | Amaranthus spinosus
Aster, slender | Aster subulatus
Bedstraw, catchweed | Galium aparine
Beggarweed, Florida | Desmodium tortuosum
Broomweed, common | Gutierrezia dracunculoides
Buckwheat, tartary | Fagopyrum tataricum
Buckwheat, wild | Polygonum convolvulus
Buffalobur | Solanum rostratum
Burclover, California | Medicago polymorpha
Burcucumber | Sicyos angulatus
Buttercup, corn | Ranunculus arvensis
Buttercup, creeping | Ranunculus repens
Buttercup, roughseed | Ranunculus muricatus
Buttercup, western field | Ranunculus occidentalis
Carpetweed | Mollugo verticillata
Catchfly, nightflowering | Silene noctiflorum
Chamomile, corn | Anthemis arvensis
Chervil, bur | Anthriscus caucalis
Chickweed, common | Stellaria media
Clover | Trifolium spp.
Cockle, corn | Agrostemma githago
Cockle, cow | Vaccaria pyramidata
Cocklebur, common | Xanthium strumarium
Copperleaf, hophornbeam | Acalypha ostryifolia
Cornflower | Centaurea cyanus
Croton, tropic | Croton glandulosus
Croton, woolly | Croton capitatus
Daisy, English | Bellis perennis
Dragonhead, American | Dracocephalum parviflorum
Eveningprimrose, cutleaf | Oenothera laciniata
Falseflax, smallseed | Camelina microcarpa
Fleabane, hairy | Conyza bonariensis
(continued)
Table 1. Weeds Controlled or Suppressed (continued)
(continued)
Common Name | Scientific Name
Annuals (continued) | Annuals (continued)
Flixweed | Descurainia sophia
Fumitory | Fumaria officinalis
Goosefoot, nettleleaf | Chenopodium murale
Hempnettle | Galeopsis tetrahit
Henbit | Lamium amplexicaule
Horseweed (Marestail) | Conyza canadensis
Jacob’s-ladder | Polemonium caeruleum
Jimsonweed | Datura stramonium
Knawel (German moss) | Scleranthus annuus
Knotweed, prostrate | Polygonum aviculare
Kochia2 | Kochia scoparia
Ladysthumb | Polygonum persicaria
Lambsquarters, common | Chenopodium album
Lettuce, miner’s | Claytonia perfoliata
Lettuce, prickly | Lactuca serriola
Mallow, common | Malva neglecta
Mallow, Venice | Hibiscus trionum
Mayweed | Anthemis cotula
Morningglory, ivyleaf | Ipomoea hederacea
Morningglory, tall | Ipomoea purpurea
Mustard, black | Brassica nigra
Mustard, blue | Chorispora tenella
Mustard, tansy | Descurainia pinnata
Mustard, treacle | Erysimum repandum
Mustard, tumble | Sisymbrium altissimum
Mustard, wild | Sinapis arvensis
Mustard, yellowtop | Sinapis spp.
Nightshade, black | Solanum nigrum
Nightshade, cutleaf | Solanum triflorum
Pennycress, field | Thlaspi arvense
Pepperweed, Virginia | Lepidium virginicum
Pigweed, prostrate | Amaranthus blitoides
Pigweed, redroot (rough) | Amaranthus retroflexus
Pigweed, smooth | Amaranthus hybridus
Pigweed, tumble | Amaranthus albus
Pineappleweed | Matricaria matricarioides
Poorjoe | Diodia teres
Poppy, red horn | Glaucium corniculatum
